Year Graduated,Gender,Marital Status,Diploma Type,Defaulted,Salary,Fee,Savings ($)
2008,M,Single,Standard Diploma,Yes,65000,12058,"$26,000"
2009,Male,Married,College Prep Diploma,Yes,75000,12058,"$52,000"
2008,Female,Single,Standard Diploma,No,110000,12059,"$46,000"
2009,Male,Single,College Prep Diploma,Yes,75000,12059,"$32,000"
2004,Female,Married,College Prep Diploma,Yes,90000,11693,"$67,000"
2005,Female,Single,Standard Diploma,Yes,65000,11693,"$10,000"
2006,Male,Married,Standard Diploma,No,75000,11693,"$6,000"
2007,Female,Divorced,Standard Diploma,Yes,60000,11693,"$16,000"
2008,Male,Married,College Prep Diploma,No,160000,11693,"$62,000"
2009,Male,Divorced,Standard Diploma,Yes,85000,11693,"$46,000"
2005,Female,Single,College Prep Diploma,Yes,75000,10963,"$32,000"
2006,Male,Married,Standard Diploma,No,90000,10963,"$67,000"
2007,Female,Single,Standard Diploma,Yes,65000,10964,"$10,000"
2008,Male,Single,College Prep Diploma,Yes,75000,10964,"$82,000"
2004,Female,Married,Standard Diploma,No,110000,10966,"$103,000"
2005,Male,Divorced,Standard Diploma,Yes,75000,10966,"$37,000"
2005,Female,Married,Standard Diploma,Yes,90000,12062,"$24,000"
2006,Female,Divorced,Standard Diploma,No,65000,12062,"$52,000"
2007,Male,Single,College Prep Diploma,No,75000,12062,"$46,000"
2008,Female,Married,Standard Diploma,Yes,65000,12062,"$32,000"
2009,Male,Single,College Prep Diploma,No,75000,12062,"$20,000"
2004,Male,Single,Standard Diploma,Yes,100000,10967,"$12,000"
2005,Male,Married,Standard Diploma,Yes,75000,10967,"$16,000"
2008,Female,Single,Standard Diploma,Yes,90000,10968,"$37,000"
2008,Male,Married,College Prep Diploma,No,65000,10968,"$16,000"
2004,Male,Divorced,Standard Diploma,Yes,85000,11699,"$52,000"
2005,Female,Married,College Prep Diploma,No,90000,11699,"$46,000"
2006,Male,Divorced,Standard Diploma,Yes,65000,11699,"$32,000"
2007,Male,Single,College Prep Diploma,Yes,75000,11699,"$67,000"
2008,Female,Married,Standard Diploma,No,110000,11699,"$60,000"
2009,Male,Single,Standard Diploma,No,75000,11699,"$6,000"
2007,Female,Single,College Prep Diploma,Yes,90000,12065,"$16,000"
2008,Female,Married,Standard Diploma,No,65000,12065,"$22,000"
2009,Male,Divorced,Standard Diploma,Yes,75000,12065,"$46,000"
2004,Female,Married,Standard Diploma,Yes,65000,11700,"$32,000"
2005,Female,Divorced,Standard Diploma,No,75000,11700,"$67,000"
2006,Male,Single,College Prep Diploma,No,100000,11700,"$30,000"
2007,Male,Married,Standard Diploma,Yes,75000,11700,"$82,000"
2008,Female,Single,College Prep Diploma,No,90000,11700,"$93,000"
2009,Male,Single,Standard Diploma,Yes,65000,11700,"$37,000"
2004,Female,Married,Standard Diploma,Yes,85000,11335,"$24,000"
2005,Male,Single,Standard Diploma,No,90000,11335,"$52,000"
2006,Female,Married,Standard Diploma,No,65000,11335,"$46,000"
2007,Male,Divorced,Standard Diploma,Yes,75000,11335,"$32,000"
2008,Female,Married,Standard Diploma,No,110000,11335,"$50,000"
2009,Female,Divorced,Standard Diploma,Yes,75000,11335,"$19,000"
2005,Female,Single,Standard Diploma,Yes,90000,12066,"$16,000"
2006,Male,Married,College Prep Diploma,No,65000,12066,"$37,000"
2007,Male,Single,Standard Diploma,No,75000,12066,"$16,000"
2008,M,Single,College Prep Diploma,Yes,65000,12066,"$72,000"
2009,Male,Married,Standard Diploma,No,75000,12066,"$46,000"
2005,Female,Divorced,Standard Diploma,Yes,100000,12067,"$32,000"
2006,Male,Married,Standard Diploma,Yes,75000,12067,"$67,000"
